ID,Fleet,Status,GrossAmount,TripAdjusted,DiscountApplied,ExistingPassenger
358207,Discount Cab,Unable To Match,0,No,,
358206,Discount Cab,Meter Off,9,No,0,Yes
358205,Van,Cancelled,0,No,,
358204,Discount Cab,Meter Off,10,No,20,No
358203,Discount Cab,Meter Off,0,Yes,10,Yes
358202,RideShare,Meter Off,0,No,6,No
358201,Discount Cab,Meter Off,21,No,0,Yes
358200,Discount Cab,Cancelled,0,No,,
358199,RideShare,Meter Off,9,No,3,Yes
358198,RideShare,Meter Off,0,No,6,No
358197,RideShare,Cancelled,0,No,,
358196,Discount Cab,Meter Off,37,No,0,Yes
358195,Discount Cab,Meter Off,31,No,0,Yes
358194,Discount Cab,Cancelled,0,No,,
358193,Discount Cab,Meter Off,5,No,20,No
358192,Discount Cab,Meter Off,4,No,10,No
358191,Discount Cab,Unable To Auth,0,No,,
358190,RideShare,Unable To Auth,0,No,,
358189,RideShare,Unable To Auth,0,No,,
358188,RideShare,Unable To Auth,0,No,,
358187,RideShare,Unable To Auth,0,No,,
358186,RideShare,Meter Off,15,No,0,Yes
358185,Discount Cab,Meter Off,14,No,4,Yes
358184,Discount Cab,Meter Off,0,No,15,No
358183,Black,Unable To Match,0,No,,
358182,SUV,Unable To Match,0,No,,
358181,Discount Cab,Meter Off,51,No,0,Yes
358180,Black,Unable To Match,0,No,,
358179,Discount Cab,Meter Off,2,No,10,Yes
358178,Discount Cab,Meter Off,28,No,0,Yes
358177,Discount Cab,Unable To Auth,0,No,,
358176,Discount Cab,Meter Off,39,No,0,Yes
358175,RideShare,Meter Off,13,No,0,Yes
358174,Discount Cab,Meter Off,0,Yes,0,Yes
358173,Black,Meter Off,10,No,0,Yes
358172,Discount Cab,Meter Off,11,No,10,Yes
358171,Discount Cab,Unable To Auth,0,No,,
358170,Discount Cab,Meter Off,0,No,10,Yes
358169,Discount Cab,Unable To Auth,0,No,,
358168,Discount Cab,Meter Off,0,No,20,No
358167,RideShare,Meter Off,1,No,10,No
358166,RideShare,Meter Off,27,No,0,Yes
358165,RideShare,Meter Off,11,No,0,Yes
358164,Discount Cab,Meter Off,17,No,0,Yes
358163,Discount Cab,Meter Off,17,No,0,Yes
358162,Discount Cab,Meter Off,19,No,6,Yes
358161,Accessible Van,Meter Off,22,Yes,0,Yes
358160,Discount Cab,Meter Off,35,No,0,Yes
358159,RideShare,Meter Off,11,No,0,Yes
358158,Discount Cab,Cancelled,10,No,,
358157,RideShare,Meter Off,39,No,0,Yes
358156,Discount Cab,Unable To Auth,0,No,,
358155,Discount Cab,Unable To Auth,0,No,,
358154,Discount Cab,Unable To Auth,0,No,,
358153,Discount Cab,Unable To Auth,0,No,,
358152,Discount Cab,Unable To Auth,0,No,,
358151,Discount Cab,Unable To Auth,0,No,,
358150,Discount Cab,Meter Off,36,No,0,Yes
358149,Discount Cab,Meter Off,0,No,9,Yes
358148,RideShare,Meter Off,9,No,0,Yes
358147,RideShare,Meter Off,38,No,0,Yes
358146,Discount Cab,Meter Off,2,No,10,No
358145,Discount Cab,Meter Off,19,No,10,Yes
358144,RideShare,Meter Off,11,No,0,Yes
358143,Discount Cab,Meter Off,19,No,0,Yes
358142,RideShare,Meter Off,11,No,0,Yes
358141,Discount Cab,Meter Off,21,No,0,Yes
358140,Discount Cab,Cancelled,0,Yes,,
358139,Discount Cab,Meter Off,21,No,0,Yes
358138,RideShare,Meter Off,12,No,0,Yes
358137,Discount Cab,Meter Off,43,No,0,Yes
358136,Discount Cab,Meter Off,12,No,0,Yes
358135,Discount Cab,Cancelled,0,No,,
358134,RideShare,Meter Off,6,No,0,Yes
358133,RideShare,Meter Off,0,No,9,Yes
358132,Discount Cab,Meter Off,21,No,0,Yes
358131,Discount Cab,Unable To Auth,0,No,,
358130,Discount Cab,Meter Off,13,No,0,Yes
358129,Accessible Van,Meter Off,14,No,10,Yes
358128,Discount Cab,Meter Off,12,No,0,Yes
358127,Discount Cab,Meter Off,23,Yes,0,Yes
358126,RideShare,Meter Off,10,No,0,Yes
358125,Van,Unable To Match,0,No,,
358124,Discount Cab,Meter Off,38,No,0,Yes
358123,Discount Cab,Meter Off,9,No,0,Yes
358122,RideShare,Unable To Auth,0,No,,
358121,Accessible Van,Unable To Match,0,No,,
358120,Discount Cab,Cancelled,0,No,,
358119,RideShare,Meter Off,31,No,0,Yes
358118,RideShare,Unable To Auth,0,No,,
358117,Discount Cab,Meter Off,11,No,0,Yes
358116,Discount Cab,Meter Off,7,No,2,No
358115,Discount Cab,Cancelled,0,No,,
358114,Discount Cab,Cancelled,0,No,,
358113,Discount Cab,Unable To Match,0,No,,
358112,RideShare,Meter Off,8,No,0,Yes
358111,Discount Cab,Unable To Match,0,No,,
358110,Discount Cab,Meter Off,25,No,0,Yes
358109,Cab,Meter Off,0,No,15,No
358108,RideShare,Cancelled,10,No,,
358107,Discount Cab,Meter Off,4,No,10,Yes
358106,RideShare,Meter Off,29,No,0,Yes
358105,Discount Cab,Meter Off,44,No,0,Yes
358104,Cab,Unable To Match,0,No,,
358103,RideShare,Meter Off,2,No,10,No
358102,RideShare,Meter Off,9,No,0,Yes
358101,SUV,Meter Off,14,No,20,No
358100,Discount Cab,Cancelled,0,No,,
358099,Discount Cab,Meter Off,13,No,0,Yes
358098,Discount Cab,Cancelled,0,No,,
358097,RideShare,Meter Off,11,No,0,Yes
358096,Discount Cab,Meter Off,17,No,0,Yes
358095,Discount Cab,Unable To Match,0,No,,
358094,Discount Cab,Cancelled,0,No,,
358093,Discount Cab,Meter Off,14,Yes,0,Yes
358092,RideShare,Unable To Match,0,No,,
358091,Discount Cab,Meter Off,12,No,0,Yes
358090,RideShare,Meter Off,9,No,0,Yes
358089,Discount Cab,Meter Off,35,No,0,Yes
358088,Discount Cab,Meter Off,5,No,10,Yes
358087,RideShare,Meter Off,3,No,10,Yes
358086,RideShare,Cancelled,0,No,,
358085,RideShare,Meter Off,15,No,0,Yes
358084,Discount Cab,Meter Off,47,No,0,Yes
358083,RideShare,Meter Off,7,No,0,Yes
358082,RideShare,Meter Off,18,No,0,Yes
358081,Discount Cab,Cancelled,0,No,,
358080,RideShare,Meter Off,12,No,0,Yes
358079,Discount Cab,Meter Off,21,No,0,Yes
358078,Discount Cab,Meter Off,12,No,0,Yes
358077,RideShare,Meter Off,0,No,9,Yes
358076,RideShare,Meter Off,25,No,0,Yes
358075,Discount Cab,Meter Off,0,Yes,0,Yes
358074,RideShare,Unable To Match,0,No,,
358073,Discount Cab,Meter Off,55,No,0,Yes
358072,Discount Cab,Cancelled,0,No,,
358071,Discount Cab,Meter Off,13,No,0,Yes
358070,Discount Cab,Cancelled,0,No,,
358069,Discount Cab,Cancelled,0,No,,
358068,Discount Cab,Meter Off,10,No,10,Yes
358067,Discount Cab,Meter Off,5,No,20,Yes
358066,RideShare,Cancelled,0,No,,
358065,RideShare,Unable To Match,0,No,,
358064,RideShare,Cancelled,0,No,,
358063,RideShare,Unable To Match,0,No,,
358062,Discount Cab,Meter Off,17,No,0,Yes
358061,RideShare,Cancelled,0,No,,
358060,Discount Cab,Meter Off,16,No,5,No
358059,RideShare,Unable To Match,0,No,,
358058,Discount Cab,Meter Off,70,No,0,Yes
358057,RideShare,Meter Off,6,No,0,Yes
358056,RideShare,Meter Off,11,No,0,Yes
358055,Discount Cab,Meter Off,6,No,10,Yes
358054,RideShare,Unable To Auth,0,No,,
358053,RideShare,Unable To Auth,0,No,,
358052,RideShare,Cancelled,0,No,,
358051,Discount Cab,Meter Off,13,No,10,No
358050,Discount Cab,Cancelled,0,No,,
358049,Discount Cab,Cancelled,0,No,,
358048,Discount Cab,Cancelled,0,No,,
358047,Discount Cab,Meter Off,23,No,0,Yes
358046,Discount Cab,Meter Off,9,No,10,Yes
358045,RideShare,Meter Off,6,No,0,Yes
358044,RideShare,Cancelled,0,No,,
358043,RideShare,Meter Off,13,No,0,Yes
358042,RideShare,Cancelled,0,No,,
358041,Discount Cab,Meter Off,27,No,0,Yes
358040,Discount Cab,Meter Off,52,No,0,Yes
358039,Discount Cab,Cancelled,0,No,,
358038,RideShare,Meter Off,6,No,10,Yes
358037,RideShare,Meter Off,1,No,10,Yes
358036,Discount Cab,Meter Off,21,No,0,Yes
358035,Discount Cab,Meter Off,12,No,20,Yes
358034,RideShare,Unable To Match,0,No,,
358033,RideShare,Meter Off,13,No,0,Yes
358032,Discount Cab,Unable To Match,0,No,,
358031,RideShare,Unable To Match,0,No,,
358030,RideShare,Meter Off,10,No,0,Yes
358029,RideShare,Unable To Auth,0,No,,
358028,RideShare,Meter Off,9,No,0,Yes
358027,RideShare,Unable To Auth,0,No,,
358026,Discount Cab,Meter Off,11,No,10,Yes
358025,Discount Cab,Meter Off,27,No,10,Yes
358024,Discount Cab,Unable To Auth,0,No,,
358023,Discount Cab,Cancelled,0,No,,
358022,RideShare,Cancelled,0,No,,
358021,Discount Cab,Meter Off,37,No,0,Yes
358020,RideShare,Meter Off,3,No,10,Yes
358019,RideShare,Unable To Match,0,No,,
358018,Discount Cab,Cancelled,10,No,,
358017,RideShare,Meter Off,15,No,10,No
358016,Discount Cab,Unable To Auth,0,No,,
358015,Discount Cab,Unable To Auth,0,No,,
358014,RideShare,Unable To Auth,0,No,,
358013,RideShare,Meter Off,15,No,0,Yes
358012,RideShare,Meter Off,9,No,0,Yes
358011,Discount Cab,Meter Off,26,No,0,Yes
358010,Discount Cab,Meter Off,25,No,5,Yes
358009,Discount Cab,Cancelled,0,No,,
358008,Discount Cab,Cancelled,0,No,,
358007,Discount Cab,Cancelled,0,No,,
358006,Discount Cab,Cancelled,0,No,,
358005,Discount Cab,Cancelled,0,No,,
358004,Discount Cab,Meter Off,9,No,0,Yes
358003,Discount Cab,Meter Off,5,No,10,Yes
358002,Discount Cab,Meter Off,11,No,0,Yes
358001,Discount Cab,Cancelled,0,No,,
358000,Discount Cab,Meter Off,34,No,0,Yes
357999,Discount Cab,Meter Off,19,No,0,Yes
357998,Discount Cab,Cancelled,0,No,,
357997,RideShare,Meter Off,10,No,10,No
357996,Discount Cab,Cancelled,10,No,,
357995,Discount Cab,Meter Off,0,Yes,0,Yes
357994,Discount Cab,Meter Off,21,No,0,Yes
357993,Discount Cab,Unable To Auth,0,No,,
357992,Discount Cab,Meter Off,13,No,0,Yes
357991,Discount Cab,Unable To Match,0,No,,
357990,Discount Cab,Unable To Match,0,No,,
357989,Discount Cab,Meter Off,9,No,0,Yes
357988,Discount Cab,Unable To Match,0,No,,
357987,Discount Cab,Meter Off,22,No,10,Yes
357986,Discount Cab,Cancelled,0,No,,
357985,Accessible Van,Unable To Match,0,No,,
357984,RideShare,Meter Off,13,No,10,No
357983,Discount Cab,Unable To Match,0,No,,
357982,Discount Cab,Unable To Match,0,No,,
357981,Discount Cab,Meter Off,15,No,0,Yes
357980,Discount Cab,Cancelled,10,No,,
357979,RideShare,Meter Off,7,No,0,Yes
357978,Discount Cab,Unable To Match,0,No,,
357977,Discount Cab,Meter Off,14,No,0,Yes
357976,Discount Cab,Meter Off,0,Yes,0,Yes
357975,RideShare,Meter Off,28,No,0,Yes
357974,Discount Cab,Meter Off,12,No,10,Yes
357973,Discount Cab,Unable To Auth,0,No,,
357972,Discount Cab,Meter Off,60,No,0,Yes
357971,Discount Cab,Meter Off,15,No,0,Yes
357970,RideShare,Meter Off,9,No,0,Yes
357969,RideShare,Meter Off,2,No,10,Yes
357968,RideShare,Meter Off,0,Yes,0,Yes
357967,Discount Cab,Cancelled,0,No,,
357966,Discount Cab,Cancelled,0,No,,
357965,RideShare,Meter Off,8,No,0,Yes
357964,Discount Cab,Cancelled,0,No,,
357963,Discount Cab,Meter Off,25,No,0,Yes
357962,Van,Unable To Match,0,No,,
357961,Van,Unable To Match,0,No,,
357960,RideShare,Unable To Match,0,No,,
357959,Discount Cab,Cancelled,0,Yes,,
357958,Van,Unable To Auth,0,No,,
357957,Discount Cab,Meter Off,10,No,0,Yes
357956,Discount Cab,Meter Off,38,No,0,Yes
357955,Discount Cab,Meter Off,2,No,20,Yes
357954,RideShare,Meter Off,7,No,0,Yes
357953,RideShare,Unable To Match,0,No,,
357952,RideShare,Meter Off,21,No,0,Yes
357951,RideShare,Meter Off,7,No,10,Yes
357950,Discount Cab,Meter Off,10,No,0,Yes
357949,RideShare,Meter Off,10,No,0,Yes
357948,RideShare,Unable To Auth,0,No,,
357947,RideShare,Unable To Auth,0,No,,
357946,Black,Unable To Match,0,No,,
357945,Discount Cab,Meter Off,14,No,20,Yes
357944,Discount Cab,Cancelled,0,No,,
357943,Discount Cab,Cancelled,10,No,,
357942,RideShare,Meter Off,9,No,10,Yes
357941,Discount Cab,Meter Off,27,No,0,Yes
357940,Discount Cab,Meter Off,13,No,0,Yes
357939,Discount Cab,Meter Off,0,No,10,Yes
357938,RideShare,Meter Off,6,No,0,Yes
357937,Discount Cab,Unable To Match,0,No,,
357936,Discount Cab,Cancelled,0,No,,
357935,Discount Cab,Meter Off,15,No,0,Yes
357934,Discount Cab,Cancelled,10,No,,
357933,Discount Cab,Cancelled,10,No,,
357932,Discount Cab,Meter Off,0,No,9,Yes
357931,Discount Cab,Meter Off,15,No,0,Yes
357930,RideShare,Cancelled,0,Yes,,
